x y feature_id image_id image_filename
967.340000 1439.560000 1.000000 1.000000 ./example/poster1.jpg
931.960000 1422.820000 2.000000 1.000000 ./example/poster1.jpg
881.720000 1389.140000 3.000000 1.000000 ./example/poster1.jpg
890.600000 1382.520000 4.000000 1.000000 ./example/poster1.jpg
923.440000 1374.760000 5.000000 1.000000 ./example/poster1.jpg
993.280000 1367.840000 6.000000 1.000000 ./example/poster1.jpg
492.140000 1356.100000 7.000000 1.000000 ./example/poster1.jpg
481.320000 1355.960000 8.000000 1.000000 ./example/poster1.jpg
488.780000 1346.800000 9.000000 1.000000 ./example/poster1.jpg
504.260000 1319.400000 10.000000 1.000000 ./example/poster1.jpg
531.580000 1320.120000 11.000000 1.000000 ./example/poster1.jpg
489.940000 1319.440000 12.000000 1.000000 ./example/poster1.jpg
1041.860000 1276.880000 13.000000 1.000000 ./example/poster1.jpg
938.960000 1278.340000 14.000000 1.000000 ./example/poster1.jpg
724.500000 1174.720000 15.000000 1.000000 ./example/poster1.jpg
838.700000 1149.220000 16.000000 1.000000 ./example/poster1.jpg
497.980000 1147.860000 17.000000 1.000000 ./example/poster1.jpg
742.580000 1075.860000 18.000000 1.000000 ./example/poster1.jpg
710.560000 1076.880000 19.000000 1.000000 ./example/poster1.jpg
803.400000 1053.860000 20.000000 1.000000 ./example/poster1.jpg
641.440000 1063.440000 21.000000 1.000000 ./example/poster1.jpg
817.880000 1033.860000 22.000000 1.000000 ./example/poster1.jpg
734.280000 1039.760000 23.000000 1.000000 ./example/poster1.jpg
846.240000 995.580000 24.000000 1.000000 ./example/poster1.jpg
721.900000 1004.620000 25.000000 1.000000 ./example/poster1.jpg
707.920000 1005.360000 26.000000 1.000000 ./example/poster1.jpg
755.020000 979.400000 27.000000 1.000000 ./example/poster1.jpg
631.280000 988.740000 28.000000 1.000000 ./example/poster1.jpg
684.700000 966.700000 29.000000 1.000000 ./example/poster1.jpg
1023.540000 776.020000 30.000000 1.000000 ./example/poster1.jpg
888.060000 792.240000 31.000000 1.000000 ./example/poster1.jpg
947.360000 774.980000 32.000000 1.000000 ./example/poster1.jpg
1000.020000 768.100000 33.000000 1.000000 ./example/poster1.jpg
652.980000 803.680000 34.000000 1.000000 ./example/poster1.jpg
992.580000 757.520000 35.000000 1.000000 ./example/poster1.jpg
902.160000 750.000000 36.000000 1.000000 ./example/poster1.jpg
688.100000 761.620000 37.000000 1.000000 ./example/poster1.jpg
705.200000 739.400000 38.000000 1.000000 ./example/poster1.jpg
997.420000 693.200000 39.000000 1.000000 ./example/poster1.jpg
983.500000 686.900000 40.000000 1.000000 ./example/poster1.jpg
